Sales_Key,Date_Key,Marketplace_Key,Product_Key,Account Title,Taxes,Orders,Units,Refunded,Refund %,Unit Session %,Promo Units,Organic Units,Per Unit Revenue,Revenue,COGS,FBA Fees,Promo Amount,Sessions,Page Views,Impressions,Clicks,PPC Orders,PPC Sales,PPC Cost,PPC Conv,OOE,Net Profit,Net Margin,Net ROI
11,11,1,1,[ UK ] Aava,-32.29,12,12,1,0.0833,0.0,0,12,17.58,193.38,-57.07,-60.87,-0.88,0,0,3966,17,1,16.44,-16.2,0.0588,0,26.07,0.1348,0.2211
12,12,1,1,[ UK ] Aava,-35.37,12,12,0,0.0,0.0,0,12,17.65,211.79,-62.65,-62.89,-1.77,0,0,4985,16,5,113.99,-14.7,0.3125,0,34.42,0.1625,0.2741
13,13,1,1,[ UK ] Aava,-567.12,148,200,4,0.02,0.0,46,154,17.63,3455.89,-1023.37,-710.6,-1419.74,0,0,10028,73,16,285.87,-55.93,0.2192,0,-320.87,-0.0928,-0.185
14,14,1,1,[ UK ] Aava,-497.05,129,172,0,0.0,0.0,12,160,17.67,3038.84,-900.01,-616.89,-1184.37,0,0,11393,93,23,431.05,-104.07,0.2473,0,-263.54,-0.0867,-0.1737
15,15,1,1,[ UK ] Aava,-35.39,12,12,0,0.0,0.0,0,12,17.8,213.6,-62.69,-63.08,-2.54,0,0,5603,21,4,73.56,-26.35,0.1905,0,23.54,0.1102,0.1871
16,16,1,1,[ UK ] Aava,-38.18,13,14,1,0.0714,0.0,0,14,18.16,236.04,-67.63,-70.32,-13.56,0,0,3029,8,1,32.98,-11.36,0.125,0,34.99,0.1482,0.2536
17,17,1,1,[ UK ] Aava,-35.31,9,12,0,0.0,0.0,0,12,17.73,212.72,-62.43,-61.01,-16.19,0,0,2797,9,0,0.0,-8.73,0.0,0,29.04,0.1365,0.2352
18,18,1,1,[ UK ] Aava,-29.37,10,10,0,0.0,0.0,0,10,17.92,179.17,-52.03,-52.04,-5.99,0,0,2766,12,1,14.65,-14.16,0.0833,0,25.58,0.1428,0.2459
19,19,1,1,[ UK ] Aava,-54.14,19,19,1,0.0526,0.0,0,19,18.1,325.85,-93.99,-102.59,-6.06,0,0,2834,5,0,0.0,-5.17,0.0,0,63.92,0.1962,0.3252
20,20,1,1,[ UK ] Aava,-20.46,7,7,0,0.0,0.0,0,7,17.51,122.56,-36.25,-36.42,-0.88,0,0,4218,15,5,79.32,-14.06,0.3333,0,14.49,0.1182,0.1993
21,21,1,1,[ UK ] Aava,-47.07,16,17,1,0.0588,0.0,0,17,17.62,281.9,-83.39,-86.35,-5.29,0,0,3584,13,1,16.52,-12.44,0.0769,0,47.36,0.168,0.279
22,22,1,1,[ UK ] Aava,-41.41,14,15,1,0.0667,0.0,0,15,18.1,253.34,-73.36,-76.87,-6.25,0,0,3562,9,0,0.0,-9.37,0.0,0,46.09,0.1819,0.3068
23,23,1,1,[ UK ] Aava,-61.28,19,21,0,0.0,0.0,0,21,17.48,367.01,-109.55,-109.56,-2.65,0,0,2953,11,4,62.44,-11.94,0.3636,0,72.04,0.1963,0.3288
24,24,1,1,[ UK ] Aava,-22.96,8,8,0,0.0,0.0,0,8,17.71,141.67,-41.73,-41.43,-4.83,0,0,3916,6,1,14.69,-9.21,0.1667,0,21.51,0.1518,0.2586
25,25,1,1,[ UK ] Aava,-53.47,17,18,0,0.0,0.0,0,18,17.93,322.66,-93.9,-98.66,-6.08,0,0,3959,7,2,29.38,-5.17,0.2857,0,65.39,0.2027,0.3396
26,26,1,1,[ UK ] Aava,-48.98,15,17,0,0.0,0.0,0,17,17.36,295.15,-88.6,-93.26,-5.88,0,0,4035,8,0,0.0,-7.32,0.0,0,51.1,0.1732,0.281
27,27,1,1,[ UK ] Aava,-34.13,12,12,0,0.0,0.0,0,12,17.26,207.16,-62.57,-61.58,-5.52,0,0,4084,8,2,31.21,-7.14,0.25,0,36.22,0.1749,0.2918
28,28,1,1,[ UK ] Aava,-59.19,17,20,0,0.0,0.0,0,20,17.84,356.9,-104.34,-106.63,-2.47,0,0,3748,14,2,44.08,-15.57,0.1429,0,68.69,0.1925,0.3256
29,29,1,1,[ UK ] Aava,-28.38,11,11,0,0.0,0.0,0,11,17.51,192.61,-57.54,-56.81,-2.12,0,0,4016,11,1,14.73,-12.22,0.0909,0,35.55,0.1846,0.3109
30,30,1,1,[ UK ] Aava,-44.96,16,16,0,0.0,0.0,0,16,17.1,273.56,-83.89,-81.54,-9.81,0,0,3246,8,1,14.77,-9.61,0.125,0,43.73,0.1599,0.2643
31,31,1,1,[ UK ] Aava,-40.28,14,14,0,0.0,0.0,0,14,17.41,243.77,-73.41,-72.64,-4.61,0,0,3072,8,0,0.0,-11.2,0.0,0,41.63,0.1708,0.285
32,32,1,1,[ UK ] Aava,-47.52,14,16,0,0.0,0.0,0,16,17.79,284.62,-83.89,-85.3,-0.9,0,0,3636,12,3,44.3,-10.56,0.25,0,56.44,0.1983,0.3336
33,33,1,1,[ UK ] Aava,-74.96,22,25,0,0.0,0.0,0,25,18.4,460.12,-131.31,-135.32,-19.22,0,0,3642,14,6,92.47,-15.92,0.4286,0,83.38,0.1812,0.3127
34,34,1,1,[ UK ] Aava,-31.39,9,11,0,0.0,0.0,0,11,18.18,199.95,-57.78,-59.01,-7.65,0,0,3286,14,2,29.59,-14.67,0.1429,0,29.45,0.1473,0.2522
35,35,1,1,[ UK ] Aava,-57.65,18,19,0,0.0,0.0,0,19,18.26,346.9,-99.91,-106.27,-6.11,0,0,7745,21,4,61.09,-19.78,0.1905,0,57.18,0.1648,0.2774
36,36,1,1,[ UK ] Aava,-23.62,8,8,0,0.0,0.0,0,8,18.2,145.56,-41.84,-42.19,-4.13,0,0,7427,17,4,61.68,-24.55,0.2353,0,9.23,0.0634,0.1099
37,37,1,1,[ UK ] Aava,-45.12,14,15,0,0.0,0.0,0,15,18.18,272.69,-78.46,-82.97,-4.26,0,0,14401,26,2,29.46,-34.98,0.0769,0,26.9,0.0987,0.1667
38,38,1,1,[ UK ] Aava,-65.24,23,24,1,0.0417,0.0,0,24,17.5,402.47,-120.3,-123.81,-5.97,0,0,11713,23,3,44.19,-32.54,0.1304,0,54.59,0.1357,0.2236
39,39,1,1,[ UK ] Aava,-92.29,29,31,0,0.0,0.0,0,31,18.1,561.13,-162.15,-166.45,-13.76,0,0,10344,28,4,74.58,-43.76,0.1429,0,82.73,0.1474,0.2518
40,40,1,1,[ UK ] Aava,-75.71,32,33,1,0.0303,0.0,0,33,14.39,460.4,-167.76,-154.9,-10.27,0,0,9019,38,3,35.45,-46.11,0.0789,0,5.64,0.0123,0.0175
41,41,1,1,[ UK ] Aava,-70.1,29,29,0,0.0,0.0,0,29,14.63,424.33,-153.81,-143.26,-4.12,0,0,8047,26,6,80.5,-34.91,0.2308,0,18.14,0.0428,0.0611
42,42,1,1,[ UK ] Aava,-75.22,27,31,0,0.0,0.0,0,31,14.73,456.69,-164.87,-151.94,-18.71,0,0,10032,38,11,160.3,-52.54,0.2895,0,-6.6,-0.0145,-0.0208
43,43,1,1,[ UK ] Aava,-53.57,21,23,0,0.0,0.0,0,23,14.5,333.53,-121.19,-115.19,-3.06,0,0,7943,33,3,35.63,-42.33,0.0909,0,-1.83,-0.0055,-0.0077
44,44,1,1,[ UK ] Aava,-70.05,28,29,0,0.0,0.0,0,29,14.5,420.54,-152.95,-143.74,-2.85,0,0,4391,20,0,0.0,-24.94,0.0,0,26.0,0.0618,0.0876
45,45,1,1,[ UK ] Aava,-64.53,27,28,1,0.0357,0.0,0,28,14.38,388.27,-142.4,-133.74,-1.55,0,0,4229,19,2,35.66,-21.94,0.1053,0,24.11,0.0621,0.0873
46,46,1,1,[ UK ] Aava,-94.83,36,40,1,0.025,0.0,0,40,14.62,570.23,-205.69,-197.12,-4.58,0,0,4487,25,6,88.78,-23.65,0.24,0,44.36,0.0778,0.1101
47,47,1,1,[ UK ] Aava,-73.4,24,25,0,0.0,0.0,0,25,18.08,452.03,-131.65,-134.57,-13.96,0,0,5433,14,5,75.08,-20.11,0.3571,0,78.34,0.1733,0.2942
48,48,1,1,[ UK ] Aava,-32.23,11,11,0,0.0,0.0,0,11,17.54,192.99,-58.08,-57.5,-3.57,0,0,3053,17,5,79.01,-23.73,0.2941,0,17.88,0.0927,0.1547
49,49,1,1,[ UK ] Aava,-59.66,19,19,0,0.0,0.0,0,19,18.81,357.33,-100.56,-117.19,-6.27,0,0,5371,20,5,77.33,-23.07,0.25,0,50.59,0.1416,0.2323
50,50,1,1,[ UK ] Aava,-63.7,21,21,0,0.0,0.0,0,21,18.33,384.83,-111.13,-116.99,-8.62,0,0,2822,12,1,14.9,-23.31,0.0833,0,61.09,0.1587,0.2678
51,51,1,1,[ UK ] Aava,-29.87,9,10,0,0.0,0.0,0,10,17.89,178.87,-52.91,-52.95,-2.68,0,0,2824,13,4,113.66,-18.93,0.3077,0,21.53,0.1204,0.2034
52,52,1,1,[ UK ] Aava,-38.83,13,14,1,0.0714,0.0,0,14,18.08,235.05,-68.79,-72.51,-2.52,0,0,3023,17,4,62.41,-27.28,0.2353,0,25.13,0.1069,0.1778
53,53,1,1,[ UK ] Aava,-55.85,18,20,0,0.0,0.0,0,20,18.31,366.24,-105.82,-108.81,-15.3,0,0,3381,13,4,63.34,-17.83,0.3077,0,62.61,0.171,0.2917
54,54,1,1,[ UK ] Aava,-54.07,17,18,0,0.0,0.0,0,18,18.13,326.32,-95.78,-95.76,-7.73,0,0,4357,14,6,94.42,-18.92,0.4286,0,54.06,0.1657,0.2822
55,55,1,1,[ UK ] Aava,-58.77,17,21,0,0.0,0.0,0,21,17.13,359.65,-111.59,-104.58,-16.91,0,0,3984,17,5,98.77,-21.47,0.2941,0,46.33,0.1288,0.2143
56,56,1,1,[ UK ] Aava,-43.97,16,16,1,0.0625,0.0,0,16,18.5,277.49,-79.6,-91.6,-1.8,0,0,5955,21,5,76.6,-28.14,0.2381,0,32.38,0.1167,0.1891
57,57,1,1,[ UK ] Aava,-41.94,14,14,0,0.0,0.0,0,14,17.94,251.16,-74.3,-74.78,-0.9,0,0,4565,12,3,44.83,-19.86,0.25,0,39.39,0.1568,0.2642
58,58,1,1,[ UK ] Aava,-70.65,21,25,0,0.0,0.0,0,25,18.46,461.53,-132.21,-139.34,-22.14,0,0,4139,14,5,91.23,-21.61,0.3571,0,75.58,0.1638,0.2783
59,59,1,1,[ UK ] Aava,-50.75,15,17,0,0.0,0.0,0,17,17.93,304.74,-89.9,-89.54,-7.98,0,0,6556,17,4,59.57,-20.08,0.2353,0,46.49,0.1525,0.2591
60,60,1,1,[ UK ] Aava,-48.18,16,16,0,0.0,0.0,0,16,18.45,295.23,-84.61,-86.69,-11.23,0,0,3878,19,9,138.7,-19.93,0.4737,0,44.59,0.151,0.2603
61,61,1,1,[ UK ] Aava,-59.44,18,20,0,0.0,0.0,0,20,17.92,358.45,-105.29,-105.21,-8.74,0,0,8218,26,9,139.03,-43.43,0.3462,0,36.34,0.1014,0.1726
62,62,1,1,[ UK ] Aava,-47.57,14,17,1,0.0588,0.0,0,17,17.87,285.91,-84.28,-87.98,-1.89,0,0,6943,12,2,29.67,-20.89,0.1667,0,43.3,0.1514,0.2514
63,63,1,1,[ UK ] Aava,-46.66,16,16,0,0.0,0.0,0,16,17.62,281.9,-83.63,-82.99,-7.79,0,0,5240,7,1,14.72,-6.04,0.1429,0,54.78,0.1943,0.3288
64,64,1,1,[ UK ] Aava,-62.88,18,22,0,0.0,0.0,0,22,18.19,400.22,-115.16,-122.93,-22.34,0,0,16513,25,0,0.0,-24.37,0.0,0,52.52,0.1312,0.2206
65,65,1,1,[ UK ] Aava,-38.45,12,13,0,0.0,0.0,0,13,17.9,232.74,-68.11,-68.13,-6.04,0,0,7480,17,4,77.47,-21.22,0.2353,0,30.79,0.1323,0.226
66,66,1,1,[ UK ] Aava,-26.06,9,9,0,0.0,0.0,0,9,17.34,156.08,-47.15,-46.75,-1.77,0,0,4468,15,1,73.77,-17.56,0.0667,0,16.78,0.1075,0.1787
67,67,1,1,[ UK ] Aava,-47.32,14,16,0,0.0,0.0,0,16,17.89,286.28,-83.83,-84.39,-3.79,0,0,11750,8,2,29.51,-7.81,0.25,0,59.15,0.2066,0.3516
68,68,1,1,[ UK ] Aava,-96.6,23,38,0,0.0,0.0,0,38,17.38,660.53,-197.05,-188.13,-63.07,0,0,8077,15,2,29.21,-15.95,0.1333,0,99.73,0.151,0.2589
69,69,1,1,[ UK ] Aava,-38.08,12,13,0,0.0,0.0,0,13,17.59,228.68,-67.47,-67.89,-1.49,0,0,7568,11,1,16.45,-12.96,0.0909,0,40.79,0.1784,0.3014
70,70,1,1,[ UK ] Aava,-34.52,11,12,0,0.0,0.0,0,12,17.93,215.18,-63.07,-66.11,-0.89,0,0,8953,10,1,16.66,-11.41,0.1,0,39.18,0.1821,0.3033
71,71,1,1,[ UK ] Aava,-41.46,17,17,0,0.0,0.0,0,17,17.06,290.02,-88.27,-88.58,-2.63,0,0,10923,17,2,31.08,-22.56,0.1176,0,46.52,0.1604,0.2631
72,72,1,1,[ UK ] Aava,-38.33,13,13,0,0.0,0.0,0,13,18.09,235.11,-66.62,-70.64,-6.43,0,0,11161,20,5,72.16,-22.03,0.25,0,31.05,0.1321,0.2262
73,73,1,1,[ UK ] Aava,-26.31,11,11,2,0.1818,0.0,0,11,17.77,159.97,-46.12,-53.91,-2.43,0,0,11273,13,0,0.0,-12.29,0.0,0,18.91,0.1182,0.189
74,74,1,1,[ UK ] Aava,-82.45,28,32,2,0.0625,0.0,0,32,17.54,526.3,-153.75,-162.47,-27.21,0,0,5665,14,0,0.0,-12.35,0.0,0,88.07,0.1673,0.2785
75,75,1,1,[ UK ] Aava,-51.52,20,21,0,0.0,0.0,0,21,17.33,363.96,-109.51,-110.76,-10.41,0,0,9575,24,2,29.37,-35.62,0.0833,0,46.13,0.1267,0.2094
76,76,1,1,[ UK ] Aava,-53.21,16,18,0,0.0,0.0,0,18,18.07,325.25,-93.77,-95.8,-7.48,0,0,4748,16,1,16.51,-20.98,0.0625,0,54.01,0.1661,0.2849
77,77,1,1,[ UK ] Aava,-48.08,18,18,0,0.0,0.0,0,18,17.48,314.63,-94.65,-94.49,-6.18,0,0,10517,14,1,14.81,-16.78,0.0714,0,54.45,0.1731,0.2879
78,78,1,1,[ UK ] Aava,-23.16,10,10,2,0.2,0.0,0,10,17.44,139.56,-42.02,-48.04,-0.83,0,0,9596,15,4,59.17,-15.22,0.2667,0,10.27,0.0736,0.1141
79,79,1,1,[ UK ] Aava,-50.41,19,20,2,0.1,0.0,0,20,17.47,314.39,-93.74,-100.24,-2.64,0,0,2630,8,1,14.67,-7.67,0.125,0,59.67,0.1898,0.3076
80,80,1,1,[ UK ] Aava,-18.07,9,9,0,0.0,0.0,0,9,16.67,150.05,-46.87,-46.84,-2.64,0,0,2329,8,1,16.5,-8.31,0.125,0,27.33,0.1821,0.2916
81,81,1,1,[ UK ] Aava,-47.18,13,17,0,0.0,0.0,0,17,17.44,296.48,-88.53,-86.47,-18.25,0,0,3045,6,2,73.33,-5.77,0.3333,0,50.28,0.1696,0.2873
82,82,1,1,[ UK ] Aava,-48.02,14,18,0,0.0,0.0,0,18,17.58,316.43,-92.94,-96.77,-16.93,0,0,3672,6,2,30.9,-5.74,0.3333,0,56.03,0.1771,0.2954
83,83,1,1,[ UK ] Aava,-91.39,29,33,0,0.0,0.0,0,33,17.43,575.27,-171.25,-160.84,-78.86,0,0,4086,13,3,43.84,-19.32,0.2308,0,53.62,0.0932,0.1615
84,84,1,1,[ UK ] Aava,-69.14,22,27,0,0.0,0.0,0,27,17.87,482.58,-140.8,-151.21,-21.75,0,0,3108,9,2,45.9,-8.95,0.2222,0,90.72,0.188,0.3107
85,85,1,1,[ UK ] Aava,-39.16,13,16,1,0.0625,0.0,0,16,17.51,262.7,-79.01,-81.34,-16.1,0,0,1309,6,0,0.0,-4.96,0.0,0,42.13,0.1604,0.2627
86,86,1,1,[ UK ] Aava,-9.07,4,4,0,0.0,0.0,0,4,17.1,68.4,-21.07,-21.1,-0.89,0,0,1103,5,2,31.53,-3.98,0.4,0,12.29,0.1797,0.2915
87,87,1,1,[ UK ] Aava,-36.96,13,14,1,0.0714,0.0,0,14,18.32,238.13,-68.48,-71.74,-11.9,0,0,1829,9,2,30.6,-9.72,0.2222,0,39.32,0.1651,0.2804
88,88,1,1,[ UK ] Aava,-78.27,23,26,0,0.0,0.0,0,26,18.09,470.39,-136.96,-140.58,-16.79,0,0,2908,12,4,59.34,-14.11,0.3333,0,83.69,0.1779,0.3016
89,89,1,1,[ UK ] Aava,-53.75,20,20,0,0.0,0.0,0,20,17.55,351.06,-104.64,-104.5,-9.21,0,0,3353,12,6,89.33,-10.31,0.5,0,68.66,0.1956,0.3283
90,90,1,1,[ UK ] Aava,-56.66,19,19,0,0.0,0.0,0,19,18.14,344.64,-98.91,-103.86,-5.34,0,0,3455,13,3,44.9,-14.31,0.2308,0,65.57,0.1903,0.3234
91,91,1,1,[ UK ] Aava,-38.88,16,16,1,0.0625,0.0,0,16,17.91,268.58,-78.57,-81.79,-12.0,0,0,3228,11,6,95.9,-16.28,0.5455,0,41.07,0.1529,0.2561
92,92,1,1,[ UK ] Aava,-18.41,16,17,1,0.0588,0.0,0,17,16.36,261.7,-84.18,-87.46,-9.8,0,0,1968,10,2,31.49,-11.0,0.2,0,50.85,0.1943,0.2963
93,93,1,1,[ UK ] Aava,-0.43,15,15,0,0.0,0.0,0,15,15.08,226.18,-78.92,-79.15,-6.17,0,0,2705,13,3,44.45,-11.99,0.2308,0,49.51,0.2189,0.3132
94,94,1,1,[ UK ] Aava,-3.56,23,23,0,0.0,0.0,0,23,15.15,348.53,-121.01,-121.48,-7.76,0,0,3927,22,5,77.79,-26.03,0.2273,0,68.7,0.1971,0.2833
95,95,1,1,[ UK ] Aava,-0.73,19,19,0,0.0,0.0,0,19,14.99,284.74,-99.96,-100.11,-6.95,0,0,3636,13,1,14.82,-13.75,0.0769,0,63.23,0.2221,0.3161
96,96,1,1,[ UK ] Aava,-2.8,21,25,1,0.04,0.0,0,25,14.93,358.41,-125.91,-128.55,-16.85,0,0,3907,15,5,76.65,-17.38,0.3333,0,66.93,0.1867,0.263
97,97,1,1,[ UK ] Aava,-3.84,33,35,1,0.0286,0.0,0,35,15.04,511.39,-178.03,-185.61,-12.81,0,0,3979,22,9,139.18,-24.4,0.4091,0,106.69,0.2086,0.2934
98,98,1,1,[ UK ] Aava,-0.72,31,31,0,0.0,0.0,0,31,14.9,461.81,-161.78,-163.81,-8.54,0,0,4879,15,6,92.79,-16.25,0.4,0,110.71,0.2397,0.34
99,99,1,1,[ UK ] Aava,-2.79,31,35,1,0.0286,0.0,0,35,15.11,513.64,-178.31,-188.82,-19.34,0,0,4016,26,5,76.63,-32.18,0.1923,0,92.19,0.1795,0.2511
100,100,1,1,[ UK ] Aava,-3.08,20,25,5,0.2,0.0,0,25,14.9,297.97,-104.96,-120.13,-18.63,0,0,4119,12,3,46.19,-17.23,0.25,0,33.93,0.1139,0.1507
101,101,1,1,[ UK ] Aava,-0.73,25,25,0,0.0,0.5952,0,25,14.97,374.36,-131.2,-131.61,-8.59,42,59,4247,21,5,75.75,-24.33,0.2381,0,77.89,0.2081,0.2964
102,102,1,1,[ UK ] Aava,-2.5,19,24,0,0.0,0.7273,0,24,15.0,359.99,-125.95,-125.84,-16.73,33,37,4858,17,4,60.97,-18.83,0.2353,0,70.13,0.1948,0.2785
103,103,1,1,[ UK ] Aava,-0.6,19,19,1,0.0526,0.3455,0,19,14.93,268.79,-94.35,-97.69,-6.1,55,78,5751,32,9,138.42,-42.25,0.2812,0,27.81,0.1034,0.1448
104,104,1,1,[ UK ] Aava,-0.29,15,15,0,0.0,0.0,0,15,15.09,226.41,-79.33,-80.3,-3.47,0,0,4233,14,4,61.44,-13.82,0.2857,0,49.21,0.2173,0.3083
105,105,1,1,[ UK ] Aava,0.0,19,19,0,0.0,0.0,0,19,15.2,288.82,-101.0,-101.75,-4.87,0,0,3435,14,6,95.46,-13.01,0.4286,0,68.19,0.2361,0.3363
106,106,1,1,[ UK ] Aava,-0.15,21,23,0,0.0,0.0,0,23,15.32,352.32,-122.31,-127.41,-4.42,0,0,3876,20,4,76.76,-21.69,0.2,0,76.34,0.2167,0.3057
107,107,1,1,[ UK ] Aava,-0.29,22,22,1,0.0455,0.0,0,22,15.1,317.11,-111.61,-115.42,-4.31,0,0,2864,12,3,44.9,-13.09,0.25,0,72.38,0.2283,0.3188
108,108,1,1,[ UK ] Aava,-1.19,20,21,0,0.0,0.0,0,21,15.18,318.85,-111.61,-111.43,-10.55,0,0,2932,9,2,31.81,-12.02,0.2222,0,72.05,0.226,0.323
109,109,1,1,[ UK ] Aava,-3.12,15,18,0,0.0,0.0,0,18,15.47,278.38,-95.67,-97.77,-20.52,0,0,3257,13,2,29.93,-14.74,0.1538,0,46.56,0.1673,0.2407
110,110,1,1,[ UK ] Aava,-0.15,24,25,0,0.0,0.0,0,25,15.08,377.07,-132.76,-133.73,-3.97,0,0,3360,14,2,29.91,-15.06,0.1429,0,91.41,0.2424,0.343
111,111,1,1,[ UK ] Aava,-0.73,20,20,1,0.05,0.0,0,20,15.19,288.55,-100.86,-106.26,-6.13,0,0,3745,13,4,61.67,-19.43,0.3077,0,55.14,0.1911,0.2662
112,112,1,1,[ UK ] Aava,-0.29,18,19,0,0.0,0.0,0,19,15.25,289.79,-101.48,-102.4,-5.18,0,0,4052,17,1,15.04,-13.49,0.0588,0,66.95,0.231,0.3284
113,113,1,1,[ UK ] Aava,-0.29,20,24,0,0.0,0.0,0,24,15.29,366.92,-128.09,-133.1,-3.5,0,0,3898,7,3,60.12,-6.28,0.4286,0,95.65,0.2607,0.3662
114,114,1,1,[ UK ] Aava,-0.44,20,21,1,0.0476,0.0,0,21,15.15,302.97,-106.24,-109.85,-6.05,0,0,3277,5,2,44.88,-3.67,0.4,0,76.71,0.2532,0.355
115,115,1,1,[ UK ] Aava,-0.15,17,18,1,0.0556,0.0,0,18,15.12,256.97,-90.3,-94.08,-3.43,0,0,2934,12,2,29.92,-14.15,0.1667,0,54.87,0.2135,0.2976
116,116,1,1,[ UK ] Aava,-0.43,12,14,0,0.0,0.0,0,14,15.14,211.94,-74.37,-75.0,-2.52,0,0,3241,11,5,74.8,-8.14,0.4545,0,51.49,0.243,0.3447
117,117,1,1,[ UK ] Aava,-0.29,22,23,0,0.0,0.0,0,23,15.06,346.27,-122.51,-122.74,-5.6,0,0,5086,15,3,61.88,-12.89,0.2,0,82.24,0.2375,0.3353
118,118,1,1,[ UK ] Aava,-0.6,26,27,0,0.0,0.0,0,27,15.6,421.25,-143.98,-148.85,-14.58,0,0,2877,18,3,45.05,-20.59,0.1667,0,92.65,0.2199,0.3164
119,119,1,1,[ UK ] Aava,-0.44,16,17,0,0.0,0.0,0,17,15.24,259.14,-90.97,-91.32,-5.2,0,0,2027,10,4,60.27,-14.99,0.4,0,56.22,0.217,0.3084
120,120,1,1,[ UK ] Aava,-0.15,17,17,2,0.1176,0.0,0,17,15.07,226.08,-80.08,-86.95,-1.33,0,0,2853,9,3,45.1,-12.76,0.3333,0,44.81,0.1982,0.2683
121,121,1,1,[ UK ] Aava,-0.29,16,16,0,0.0,0.0,0,16,15.25,243.96,-85.63,-86.06,-4.34,0,0,3132,17,5,75.35,-16.81,0.2941,0,50.82,0.2083,0.296
122,122,1,1,[ UK ] Aava,-1.05,23,25,0,0.0,0.0,0,25,15.16,379.09,-133.79,-133.94,-7.6,0,0,2839,14,7,142.28,-13.65,0.5,0,89.06,0.2349,0.3326
123,123,1,1,[ UK ] Aava,-3.18,21,24,0,0.0,0.0,0,24,15.28,366.62,-128.44,-126.57,-20.88,0,0,2144,12,2,40.69,-11.99,0.1667,0,75.56,0.2061,0.2963
124,124,1,1,[ UK ] Aava,-1.96,33,36,1,0.0278,0.0,0,36,12.97,453.99,-187.7,-176.42,-11.87,0,0,3326,17,10,200.6,-13.12,0.5882,0,62.93,0.1386,0.1728
125,125,1,1,[ UK ] Aava,-0.25,29,33,0,0.0,0.0,0,33,13.26,437.5,-177.22,-173.98,-5.78,0,0,5377,24,3,51.41,-23.53,0.125,0,56.75,0.1297,0.1616
126,126,1,1,[ UK ] Aava,-4.74,24,28,1,0.0357,0.0,0,28,13.14,354.89,-144.89,-135.87,-16.51,0,0,3329,14,7,145.95,-13.95,0.5,0,38.94,0.1097,0.1387
127,127,1,1,[ UK ] Aava,-2.05,23,27,0,0.0,0.0,0,27,13.18,355.81,-145.63,-134.13,-17.52,0,0,4748,20,6,81.35,-16.4,0.3,0,40.08,0.1127,0.1433
128,128,1,1,[ UK ] Aava,-0.51,29,30,0,0.0,0.0,0,30,13.39,401.72,-162.1,-150.32,-16.37,0,0,2829,27,4,52.54,-26.94,0.1481,0,45.48,0.1132,0.1456
129,129,1,1,[ UK ] Aava,-0.26,31,35,1,0.0286,0.0,0,35,12.93,439.76,-183.71,-173.68,-1.96,0,0,3556,22,2,29.92,-16.87,0.0909,0,63.26,0.1439,0.177
130,130,1,1,[ UK ] Aava,-0.35,30,31,1,0.0323,0.0,0,31,13.04,391.34,-162.1,-153.59,-5.21,0,0,3470,25,8,124.49,-24.81,0.32,0,45.27,0.1157,0.1434
